,Date,Close
6123,2024-03-05,170.12
6122,2024-03-04,175.1
6121,2024-03-01,179.66
6120,2024-02-29,180.75
6119,2024-02-28,181.42
6118,2024-02-27,182.63
6117,2024-02-26,181.16
6116,2024-02-23,182.52
6115,2024-02-22,184.37
6114,2024-02-21,182.32
6113,2024-02-20,181.56
6112,2024-02-16,182.31
6111,2024-02-15,183.86
6110,2024-02-14,184.15
6109,2024-02-13,185.04
6108,2024-02-12,187.15
6107,2024-02-09,188.85
6106,2024-02-08,188.32
6105,2024-02-07,189.41
6104,2024-02-06,189.3
6103,2024-02-05,187.68
6102,2024-02-02,185.85
6101,2024-02-01,186.86
6100,2024-01-31,184.4
6099,2024-01-30,188.04
6098,2024-01-29,191.73
6097,2024-01-26,192.42
6096,2024-01-25,194.17
6095,2024-01-24,194.5
6094,2024-01-23,195.18
6093,2024-01-22,193.89
6092,2024-01-19,191.56
6091,2024-01-18,188.63
6090,2024-01-17,182.68
6089,2024-01-16,183.63
6088,2024-01-12,185.92
6087,2024-01-11,185.59
6086,2024-01-10,186.19
6085,2024-01-09,185.14
6084,2024-01-08,185.56
6083,2024-01-05,181.18
6082,2024-01-04,181.91
6081,2024-01-03,184.25
6080,2024-01-02,185.64
6079,2023-12-29,192.53
6078,2023-12-28,193.58
6077,2023-12-27,193.15
6076,2023-12-26,193.05
6075,2023-12-22,193.6
6074,2023-12-21,194.68
6073,2023-12-20,194.83
6072,2023-12-19,196.94
6071,2023-12-18,195.89
6070,2023-12-15,197.57
6069,2023-12-14,198.11
6068,2023-12-13,197.96
6067,2023-12-12,194.71
6066,2023-12-11,193.18
6065,2023-12-08,195.71
6064,2023-12-07,194.27
6063,2023-12-06,192.32
6062,2023-12-05,193.42
6061,2023-12-04,189.43
6060,2023-12-01,191.24
6059,2023-11-30,189.95
6058,2023-11-29,189.37
6057,2023-11-28,190.4
6056,2023-11-27,189.79
6055,2023-11-24,189.97
6054,2023-11-22,191.31
6053,2023-11-21,190.64
6052,2023-11-20,191.45
6051,2023-11-17,189.69
6050,2023-11-16,189.71
6049,2023-11-15,188.01
6048,2023-11-14,187.44
6047,2023-11-13,184.8
6046,2023-11-10,186.4
6045,2023-11-09,182.41
6044,2023-11-08,182.89
6043,2023-11-07,181.82
6042,2023-11-06,179.23
6041,2023-11-03,176.65
6040,2023-11-02,177.57
6039,2023-11-01,173.97
6038,2023-10-31,170.77
6037,2023-10-30,170.29
6036,2023-10-27,168.22
6035,2023-10-26,166.89
6034,2023-10-25,171.1
6033,2023-10-24,173.44
6032,2023-10-23,173.0
6031,2023-10-20,172.88
6030,2023-10-19,175.46
6029,2023-10-18,175.84
6028,2023-10-17,177.15
6027,2023-10-16,178.72
6026,2023-10-13,178.85
6025,2023-10-12,180.71
6024,2023-10-11,179.8
6023,2023-10-10,178.39
6022,2023-10-09,178.99
6021,2023-10-06,177.49
6020,2023-10-05,174.91
6019,2023-10-04,173.66
6018,2023-10-03,172.4
6017,2023-10-02,173.75
6016,2023-09-29,171.21
6015,2023-09-28,170.69
6014,2023-09-27,170.43
6013,2023-09-26,171.96
6012,2023-09-25,176.08
