,Date,Close
6123,2024-03-05,859.64
6122,2024-03-04,852.37
6121,2024-03-01,822.79
6120,2024-02-29,791.12
6119,2024-02-28,776.63
6118,2024-02-27,787.01
6117,2024-02-26,790.92
6116,2024-02-23,788.17
6115,2024-02-22,785.38
6114,2024-02-21,674.72
6113,2024-02-20,694.52
6112,2024-02-16,726.13
6111,2024-02-15,726.58
6110,2024-02-14,739.0
6109,2024-02-13,721.28
6108,2024-02-12,722.48
6107,2024-02-09,721.33
6106,2024-02-08,696.41
6105,2024-02-07,700.99
6104,2024-02-06,682.23
6103,2024-02-05,693.32
6102,2024-02-02,661.6
6101,2024-02-01,630.27
6100,2024-01-31,615.27
6099,2024-01-30,627.74
6098,2024-01-29,624.65
6097,2024-01-26,610.31
6096,2024-01-25,616.17
6095,2024-01-24,613.62
6094,2024-01-23,598.73
6093,2024-01-22,596.54
6092,2024-01-19,594.91
6091,2024-01-18,571.07
6090,2024-01-17,560.53
6089,2024-01-16,563.82
6088,2024-01-12,547.1
6087,2024-01-11,548.22
6086,2024-01-10,543.5
6085,2024-01-09,531.4
6084,2024-01-08,522.53
6083,2024-01-05,490.97
6082,2024-01-04,479.98
6081,2024-01-03,475.69
6080,2024-01-02,481.68
6079,2023-12-29,495.22
6078,2023-12-28,495.22
6077,2023-12-27,494.17
6076,2023-12-26,492.79
6075,2023-12-22,488.3
6074,2023-12-21,489.9
6073,2023-12-20,481.11
6072,2023-12-19,496.04
6071,2023-12-18,500.77
6070,2023-12-15,488.9
6069,2023-12-14,483.5
6068,2023-12-13,480.88
6067,2023-12-12,476.57
6066,2023-12-11,466.27
6065,2023-12-08,475.06
6064,2023-12-07,465.96
6063,2023-12-06,455.03
6062,2023-12-05,465.66
6061,2023-12-04,455.1
6060,2023-12-01,467.65
6059,2023-11-30,467.7
6058,2023-11-29,481.4
6057,2023-11-28,478.21
6056,2023-11-27,482.42
6055,2023-11-24,477.76
6054,2023-11-22,487.16
6053,2023-11-21,499.44
6052,2023-11-20,504.09
6051,2023-11-17,492.98
6050,2023-11-16,494.8
6049,2023-11-15,488.88
6048,2023-11-14,496.56
6047,2023-11-13,486.2
6046,2023-11-10,483.35
6045,2023-11-09,469.5
6044,2023-11-08,465.74
6043,2023-11-07,459.55
6042,2023-11-06,457.51
6041,2023-11-03,450.05
6040,2023-11-02,435.06
6039,2023-11-01,423.25
6038,2023-10-31,407.8
6037,2023-10-30,411.61
6036,2023-10-27,405.0
6035,2023-10-26,403.26
6034,2023-10-25,417.79
6033,2023-10-24,436.63
6032,2023-10-23,429.75
6031,2023-10-20,413.87
6030,2023-10-19,421.01
6029,2023-10-18,421.96
6028,2023-10-17,439.38
6027,2023-10-16,460.95
6026,2023-10-13,454.61
6025,2023-10-12,469.45
6024,2023-10-11,468.06
6023,2023-10-10,457.98
6022,2023-10-09,452.73
6021,2023-10-06,457.62
6020,2023-10-05,446.88
6019,2023-10-04,440.41
6018,2023-10-03,435.17
6017,2023-10-02,447.82
6016,2023-09-29,434.99
6015,2023-09-28,430.89
6014,2023-09-27,424.68
6013,2023-09-26,419.11
6012,2023-09-25,422.22
6011,2023-09-22,416.1
6010,2023-09-21,410.17
6009,2023-09-20,422.39
6008,2023-09-19,435.2
6007,2023-09-18,439.66
6006,2023-09-15,439.0
6005,2023-09-14,455.81
6004,2023-09-13,454.85
6003,2023-09-12,448.7
6002,2023-09-11,451.78
6001,2023-09-08,455.72
6000,2023-09-07,462.41
5999,2023-09-06,470.61
5998,2023-09-05,485.48
5997,2023-09-01,485.09
5996,2023-08-31,493.55
5995,2023-08-30,492.64
5994,2023-08-29,487.84
5993,2023-08-28,468.35
5992,2023-08-25,460.18
5991,2023-08-24,471.63
5990,2023-08-23,471.16
5989,2023-08-22,456.68
5988,2023-08-21,469.67
5987,2023-08-18,432.99
5986,2023-08-17,433.435
5985,2023-08-16,434.86
5984,2023-08-15,439.4
5983,2023-08-14,437.53
5982,2023-08-11,408.55
5981,2023-08-10,423.88
5980,2023-08-09,425.54
5979,2023-08-08,446.64
5978,2023-08-07,454.165
5977,2023-08-04,446.8
5976,2023-08-03,445.15
5975,2023-08-02,442.69
5974,2023-08-01,465.07
5973,2023-07-31,467.29
5972,2023-07-28,467.5
5971,2023-07-27,459.0
5970,2023-07-26,454.52
5969,2023-07-25,456.79
5968,2023-07-24,446.12
5967,2023-07-21,443.09
5966,2023-07-20,455.2
5965,2023-07-19,470.77
5964,2023-07-18,474.94
5963,2023-07-17,464.61
5962,2023-07-14,454.69
5961,2023-07-13,459.77
5960,2023-07-12,439.02
5959,2023-07-11,424.05
5958,2023-07-10,421.8
5957,2023-07-07,425.03
5956,2023-07-06,421.03
5955,2023-07-05,423.17
5954,2023-07-03,424.13
5953,2023-06-30,423.02
5952,2023-06-29,408.22
5951,2023-06-28,411.17
5950,2023-06-27,418.76
5949,2023-06-26,406.32
5948,2023-06-23,422.09
5947,2023-06-22,430.25
5946,2023-06-21,430.45
5945,2023-06-20,438.08
5944,2023-06-16,426.92
5943,2023-06-15,426.53
5942,2023-06-14,429.97
5941,2023-06-13,410.22
5940,2023-06-12,394.82
5939,2023-06-09,387.7
5938,2023-06-08,385.1
5937,2023-06-07,374.75
5936,2023-06-06,386.54
5935,2023-06-05,391.71
5934,2023-06-02,393.27
5933,2023-06-01,397.7
5932,2023-05-31,378.34
5931,2023-05-30,401.11
5930,2023-05-26,389.46
5929,2023-05-25,379.8
5928,2023-05-24,305.38
5927,2023-05-23,306.88
5926,2023-05-22,311.76
5925,2023-05-19,312.64
5924,2023-05-18,316.78
5923,2023-05-17,301.78
5922,2023-05-16,292.13
5921,2023-05-15,289.53
5920,2023-05-12,283.4
5919,2023-05-11,285.78
5918,2023-05-10,288.85
5917,2023-05-09,285.71
5916,2023-05-08,291.51
5915,2023-05-05,286.8
5914,2023-05-04,275.62
5913,2023-05-03,278.02
5912,2023-05-02,282.1
5911,2023-05-01,289.1
5910,2023-04-28,277.49
5909,2023-04-27,272.26
5908,2023-04-26,269.56
5907,2023-04-25,262.41
5906,2023-04-24,270.42
5905,2023-04-21,271.19
5904,2023-04-20,271.04
5903,2023-04-19,279.31
5902,2023-04-18,276.67
5901,2023-04-17,270.02
5900,2023-04-14,267.58
5899,2023-04-13,264.63
5898,2023-04-12,264.95
5897,2023-04-11,271.69
5896,2023-04-10,275.79
5895,2023-04-06,270.37
5894,2023-04-05,268.81
5893,2023-04-04,274.53
5892,2023-04-03,279.65
5891,2023-03-31,277.77
5890,2023-03-30,273.83
5889,2023-03-29,269.84
5888,2023-03-28,264.1
5887,2023-03-27,265.31
5886,2023-03-24,267.79
5885,2023-03-23,271.91
5884,2023-03-22,264.68
5883,2023-03-21,261.99
5882,2023-03-20,259.0
5881,2023-03-17,257.25
5880,2023-03-16,255.41
5879,2023-03-15,242.28
5878,2023-03-14,240.63
5877,2023-03-13,229.66
5876,2023-03-10,229.65
5875,2023-03-09,234.36
5874,2023-03-08,241.81
5873,2023-03-07,232.88
5872,2023-03-06,235.54
5871,2023-03-03,238.9
5870,2023-03-02,233.14
5869,2023-03-01,226.98
5868,2023-02-28,232.16
5867,2023-02-27,235.01
5866,2023-02-24,232.86
5865,2023-02-23,236.64
5864,2023-02-22,207.54
5863,2023-02-21,206.55
5862,2023-02-17,213.88
5861,2023-02-16,220.02
5860,2023-02-15,227.64
5859,2023-02-14,229.71
5858,2023-02-13,217.88
5857,2023-02-10,212.65
5856,2023-02-09,223.37
5855,2023-02-08,222.05
5854,2023-02-07,221.73
5853,2023-02-06,210.89
5852,2023-02-03,211.0
5851,2023-02-02,217.09
5850,2023-02-01,209.43
5849,2023-01-31,195.37
5848,2023-01-30,191.62
5847,2023-01-27,203.65
5846,2023-01-26,198.02
5845,2023-01-25,193.23
5844,2023-01-24,192.65
5843,2023-01-23,191.93
5842,2023-01-20,178.39
5841,2023-01-19,167.65
5840,2023-01-18,173.77
5839,2023-01-17,177.02
5838,2023-01-13,168.99
5837,2023-01-12,165.11
5836,2023-01-11,160.01
5835,2023-01-10,159.09
5834,2023-01-09,156.28
5833,2023-01-06,148.59
5832,2023-01-05,142.65
5831,2023-01-04,147.49
