,Date,Close
3443,2024-03-05,180.74
3442,2024-03-04,188.14
3441,2024-03-01,202.64
3440,2024-02-29,201.88
3439,2024-02-28,202.04
3438,2024-02-27,199.73
3437,2024-02-26,199.4
3436,2024-02-23,191.97
3435,2024-02-22,197.41
3434,2024-02-21,194.77
3433,2024-02-20,193.76
3432,2024-02-16,199.95
3431,2024-02-15,200.45
3430,2024-02-14,188.71
3429,2024-02-13,184.02
3428,2024-02-12,188.13
3427,2024-02-09,193.57
3426,2024-02-08,189.56
3425,2024-02-07,187.58
3424,2024-02-06,185.1
3423,2024-02-05,181.06
3422,2024-02-02,187.91
3421,2024-02-01,188.86
3420,2024-01-31,187.29
3419,2024-01-30,191.59
3418,2024-01-29,190.93
3417,2024-01-26,183.25
3416,2024-01-25,182.63
3415,2024-01-24,207.83
3414,2024-01-23,209.14
3413,2024-01-22,208.8
3412,2024-01-19,212.19
3411,2024-01-18,211.88
3410,2024-01-17,215.55
3409,2024-01-16,219.91
3408,2024-01-12,218.89
3407,2024-01-11,227.22
3406,2024-01-10,233.94
3405,2024-01-09,234.96
3404,2024-01-08,240.45
3403,2024-01-05,237.49
3402,2024-01-04,237.93
3401,2024-01-03,238.45
3400,2024-01-02,248.42
3399,2023-12-29,248.48
3398,2023-12-28,253.18
3397,2023-12-27,261.44
3396,2023-12-26,256.61
3395,2023-12-22,252.54
3394,2023-12-21,254.5
3393,2023-12-20,247.14
3392,2023-12-19,257.22
3391,2023-12-18,252.08
3390,2023-12-15,253.5
3389,2023-12-14,251.05
3388,2023-12-13,239.29
3387,2023-12-12,237.01
3386,2023-12-11,239.74
3385,2023-12-08,243.84
3384,2023-12-07,242.64
3383,2023-12-06,239.37
3382,2023-12-05,238.72
3381,2023-12-04,235.58
3380,2023-12-01,238.83
3379,2023-11-30,240.08
3378,2023-11-29,244.14
3377,2023-11-28,246.72
3376,2023-11-27,236.08
3375,2023-11-24,235.45
3374,2023-11-22,234.21
3373,2023-11-21,241.2
3372,2023-11-20,235.6
3371,2023-11-17,234.3
3370,2023-11-16,233.59
3369,2023-11-15,242.84
3368,2023-11-14,237.41
3367,2023-11-13,223.71
3366,2023-11-10,214.65
3365,2023-11-09,209.98
3364,2023-11-08,222.11
3363,2023-11-07,222.18
3362,2023-11-06,219.27
3361,2023-11-03,219.96
3360,2023-11-02,218.51
3359,2023-11-01,205.66
3358,2023-10-31,200.84
3357,2023-10-30,197.36
3356,2023-10-27,207.3
3355,2023-10-26,205.76
3354,2023-10-25,212.42
3353,2023-10-24,216.52
3352,2023-10-23,212.08
3351,2023-10-20,211.99
3350,2023-10-19,220.11
3349,2023-10-18,242.68
3348,2023-10-17,254.85
3347,2023-10-16,253.92
3346,2023-10-13,251.12
3345,2023-10-12,258.87
3344,2023-10-11,262.99
3343,2023-10-10,263.62
3342,2023-10-09,259.67
3341,2023-10-06,260.53
3340,2023-10-05,260.05
3339,2023-10-04,261.16
3338,2023-10-03,246.53
3337,2023-10-02,251.6
3336,2023-09-29,250.22
3335,2023-09-28,246.38
3334,2023-09-27,240.5
3333,2023-09-26,244.12
3332,2023-09-25,246.99
3331,2023-09-22,244.88
3330,2023-09-21,255.7
3329,2023-09-20,262.59
3328,2023-09-19,266.5
3327,2023-09-18,265.28
3326,2023-09-15,274.39
3325,2023-09-14,276.04
3324,2023-09-13,271.3
3323,2023-09-12,267.48
3322,2023-09-11,273.58
3321,2023-09-08,248.5
3320,2023-09-07,251.49
3319,2023-09-06,251.92
3318,2023-09-05,256.49
3317,2023-09-01,245.01
3316,2023-08-31,258.08
3315,2023-08-30,256.9
3314,2023-08-29,257.18
3313,2023-08-28,238.82
3312,2023-08-25,238.59
3311,2023-08-24,230.04
3310,2023-08-23,236.86
3309,2023-08-22,233.19
3308,2023-08-21,231.28
3307,2023-08-18,215.49
3306,2023-08-17,219.22
3305,2023-08-16,225.6
3304,2023-08-15,232.96
3303,2023-08-14,239.76
3302,2023-08-11,242.65
3301,2023-08-10,245.34
3300,2023-08-09,242.19
3299,2023-08-08,249.7
3298,2023-08-07,251.45
3297,2023-08-04,253.86
3296,2023-08-03,259.32
3295,2023-08-02,254.11
3294,2023-08-01,261.07
3293,2023-07-31,267.43
3292,2023-07-28,266.44
3291,2023-07-27,255.71
3290,2023-07-26,264.35
3289,2023-07-25,265.28
3288,2023-07-24,269.06
3287,2023-07-21,260.02
3286,2023-07-20,262.9
3285,2023-07-19,291.26
3284,2023-07-18,293.34
3283,2023-07-17,290.38
3282,2023-07-14,281.38
3281,2023-07-13,277.9
3280,2023-07-12,271.99
3279,2023-07-11,269.79
3278,2023-07-10,269.61
3277,2023-07-07,274.43
3276,2023-07-06,276.54
3275,2023-07-05,282.48
3274,2023-07-03,279.82
3273,2023-06-30,261.77
3272,2023-06-29,257.5
3271,2023-06-28,256.24
3270,2023-06-27,250.21
3269,2023-06-26,241.05
3268,2023-06-23,256.6
3267,2023-06-22,264.61
3266,2023-06-21,259.46
3265,2023-06-20,274.45
3264,2023-06-16,260.54
3263,2023-06-15,255.9
3262,2023-06-14,256.79
3261,2023-06-13,258.71
3260,2023-06-12,249.83
3259,2023-06-09,244.4
3258,2023-06-08,234.86
3257,2023-06-07,224.57
3256,2023-06-06,221.31
3255,2023-06-05,217.61
3254,2023-06-02,213.97
3253,2023-06-01,207.52
3252,2023-05-31,203.93
3251,2023-05-30,201.16
3250,2023-05-26,193.17
3249,2023-05-25,184.47
3248,2023-05-24,182.9
3247,2023-05-23,185.77
3246,2023-05-22,188.87
3245,2023-05-19,180.14
3244,2023-05-18,176.89
3243,2023-05-17,173.86
3242,2023-05-16,166.52
3241,2023-05-15,166.35
3240,2023-05-12,167.98
3239,2023-05-11,172.08
3238,2023-05-10,168.54
3237,2023-05-09,169.15
3236,2023-05-08,171.79
3235,2023-05-05,170.06
3234,2023-05-04,161.2
3233,2023-05-03,160.61
3232,2023-05-02,160.31
3231,2023-05-01,161.83
3230,2023-04-28,164.31
3229,2023-04-27,160.19
3228,2023-04-26,153.75
3227,2023-04-25,160.67
3226,2023-04-24,162.55
3225,2023-04-21,165.08
3224,2023-04-20,162.99
3223,2023-04-19,180.59
3222,2023-04-18,184.31
